date,captured_at,query,sort,source_segment,source_query,segment_position,source_page,search_position,bestseller_rank,category_rank,rank_scope,rank_scope_position,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,category,url,seller_name,seller_score,price,original_price,discount_percent,price_delta_percent,currency,campaigns,stock_status,stock_signal,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,rating_count,review_count,review_delta,question_count,basket_signal,favorite_signal,view_signal,shipping_cost,shipping_currency,handling_days_min,handling_days_max,transit_days_min,transit_days_max,delivery_summary,badge,image_url,properties,sample_review_count,sample_review_avg,detail_status,detail_selection,detail_attempted,detail_refreshed_at,detail_age_days,data_sources,field_availability,detail_ok,detail_error
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,1,1,1,1,,kozmetik:kozmetik-vitrini,1,0,115.6,24.5,34117164,117151,34117164:117151,Bargello 122 Oriental Edp 50 ml Kadın Parfüm,Bargello,Parfüm,https://www.trendyol.com/bargello/122-oriental-edp-50-ml-kadin-parfum-p-34117164?boutiqueId=61&merchantId=117151,ONLİNE PARFUM,94,600,,,0,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,,,,,4.6,50201,,0,3440,"5,3B kişinin sepetinde","589,5B kişi favoriledi",Son 24 saatte 881 kişi görüntüledi,4999,TRY,0,,1,4,4 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,,https://cdn.dsmcdn.com/ty1934/prod/QC_ENRICHMENT/20260528/22/00f932f0-ca7f-38f4-8ef5-c3f6b567aff6/1_org_zoom.jpg,"{""Tip"":""EDP"",""Koku Türü"":""Odunsu"",""Menşei"":""TR"",""Refill"":""Hayır"",""Hacim"":""50 ml"",""Renk"":""Beyaz""}",0,,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,2,1,2,2,,kozmetik:kozmetik-vitrini,2,4,114.5,44.8,744329848,837861,744329848:837861,"L'Aden Cosmetics Anında Soyucu Ginseng Peeling Ölü Deri Arındırıcı, Yenileyici, Aydınlatıcı Vücut, Yüz Peelingi",L'Aden Cosmetics,Yüz Peelingi,https://www.trendyol.com/l-aden-cosmetics/aninda-soyucu-ginseng-peeling-olu-deri-arindirici-yenileyici-aydinlatici-vucut-yuz-peelingi-p-744329848?boutiqueId=61&merchantId=837861,LAden Cosmetics,97,420,,,73.3,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 500+ ürün satıldı!,3,500,166.7,4.2,11646,5956,3,2208,"6,6B kişinin sepetinde","328,6B kişi favoriledi","Son 24 saatte 2,9B kişi görüntüledi",4999,TRY,0,,1,4,1 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,En Çok Ziyaret Edilen 3. Ürün,https://cdn.dsmcdn.com/ty1578/prod/QC/20241008/17/89cabf46-22b6-321a-9b34-ac48d75c54e1/1_org_zoom.jpg,"{""Form"":""Peeling - Partiküllü"",""Kullanma Amacı"":""Aydınlatıcı"",""Tip"":""Şişe"",""Cilt Tipi"":""Tüm Cilt Tipleri"",""Ek Özellik"":""Paraben İçermeyen"",""Hacim"":""100 ml"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,3,1,3,3,,kozmetik:kozmetik-vitrini,3,5,86,43.5,1177477953,330102,1177477953:330102,Maycheer Siyah Nokta Temizleyici Aplikatör Akne Temizleyici Gözenek Sıkılaştırıcı Spatula Cilt Gözenek Temizleyici,Maycheer,Yüz Temizleme Cihazı,https://www.trendyol.com/maycheer/siyah-nokta-temizleyici-aplikator-akne-temizleyici-gozenek-sikilastirici-spatula-cilt-gozenek-temizleyici-p-1177477953?boutiqueId=61&merchantId=330102,Lasting Beauty,91,126.42,129,2,30.3,TRY,"[""Sepette %2 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,,,,,5,25,17,10,2,673 kişinin sepetinde,"1,6B kişi favoriledi",Son 24 saatte 815 kişi görüntüledi,4999,TRY,0,1,1,4,11 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Ziyaret Edilen 2. Ürün,https://cdn.dsmcdn.com/ty1892/prod/QC_PREP/20260729/22/de29d613-5e73-36ea-acb1-c5321f10b5c3/1_org_zoom.jpg,"{""Renk"":""Haki"",""Kullanma Amacı"":""Gözenek Sıkılaştırıcı"",""Güç Kaynağı"":""Pilli"",""Yaşlanma Karşıtı"":""Evet"",""Menşei"":""CN""}",17,4.94,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,4,1,4,4,,kozmetik:kozmetik-vitrini,4,9,104.9,23,32332095,117151,32332095:117151,Bargello ERKEK PARFÜM 561 FRESH 50 ML EDP 8691841304531,Bargello,Parfüm,https://www.trendyol.com/bargello/erkek-parfum-561-fresh-50-ml-edp-8691841304531-p-32332095?boutiqueId=61&merchantId=117151,ONLİNE PARFUM,94,600,,,0,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,,,,,4.5,24685,12779,-16,1493,"2,2B kişinin sepetinde",196B kişi favoriledi,Son 24 saatte 577 kişi görüntüledi,4999,TRY,0,,1,4,4 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,,https://cdn.dsmcdn.com/ty1898/prod/QC_ENRICHMENT/20260528/19/3126446c-7963-3ea5-91c1-d4794536e7e7/1_org_zoom.jpg,"{""Tip"":""EDP"",""Koku Türü"":""Odunsu"",""Menşei"":""TR"",""Refill"":""Hayır"",""Hacim"":""50 ml"",""Renk"":""Beyaz""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,5,1,5,5,,kozmetik:kozmetik-vitrini,5,,139.6,29.4,878842175,1124648,878842175:1124648,"Pierre Cardin Amour Infini EDP Kadın Parfüm 50 ml|Çiçeksi|Frenk Üzümü, Bergamot, Yasemin, Portakal Çiçeği, Vanilya",Pierre Cardin,Parfüm,https://www.trendyol.com/pierre-cardin/amour-infini-edp-kadin-parfum-50-ml-ciceksi-frenk-uzumu-bergamot-yasemin-portakal-cicegi-vanilya-p-878842175?boutiqueId=61&merchantId=1124648,Pierre Cardin Parfum,92,639,1195,46.5,,TRY,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Son 10 günün en düşük fiyatı""]",InStock,100 adetten fazla stok sunulmuştur,,,,,3.9,1194,772,,53,"1,3B kişinin sepetinde","38,9B kişi favoriledi",Son 24 saatte 691 kişi görüntüledi,4999,TRY,0,1,1,4,11 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,,https://cdn.dsmcdn.com/ty1832/prod/QC_ENRICHMENT/20260226/14/ac1cfede-4554-3161-ac77-6e67fca6137f/1_org_zoom.jpg,"{""Tip"":""EDP"",""Koku Türü"":""Çiçeksi"",""Menşei"":""TR"",""Refill"":""Hayır"",""Hacim"":""50 ml""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,6,1,6,6,1,kozmetik:kozmetik-vitrini,6,2,124.7,72,871346073,556702,871346073:556702,Cream Co. Allık Ruj Göz Farı Glow Tint Soft Mocha | Nemlendirici Makyaj | Nude | Hyaluronik Asit Peptit,Cream Co.,,https://www.trendyol.com/cream-co/allik-ruj-goz-fari-glow-tint-soft-mocha-nemlendirici-makyaj-nude-hyaluronik-asit-peptit-p-871346073?boutiqueId=61&merchantId=556702,Cream Co.,,199.9,,,0,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,"3 günde 1,5B+ ürün satıldı!",3,1500,500,4.4,9241,,0,362,"18,7B kişinin sepetinde","456,5B kişi favoriledi","Son 24 saatte 6,7B kişi görüntüledi",,,0,,,,Tahmini Teslim:,En Çok Satan 1. Ürün,,{},0,,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""unavailable"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""unavailable"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,7,1,7,7,,kozmetik:kozmetik-vitrini,7,,90.9,26.6,675829860,144133,675829860:144133,Thalia Akne Gidermeye & Gözenek Sıkılaştırmaya Yardımcı Marjoram Doğal Katı Sabun 120 gr,Thalia,Katı Sabun,https://www.trendyol.com/thalia/akne-gidermeye-gozenek-sikilastirmaya-yardimci-marjoram-dogal-kati-sabun-120-gr-p-675829860?boutiqueId=61&merchantId=144133,Thalia Natural Beauty,95,176.7,,,,TRY,"[""Sepette %40 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,,,,,4.5,2046,1304,,359,674 kişinin sepetinde,"47,7B kişi favoriledi",Son 24 saatte 683 kişi görüntüledi,4999,TRY,0,3,1,6,57 dakika 28 saniye içinde sipariş verirsen en geç bugün kargoda!,En Çok Ziyaret Edilen 2. Ürün,https://cdn.dsmcdn.com/ty1581/prod/QC/20241011/16/32ad75d6-88e8-37e7-980c-6a11431977dc/1_org_zoom.jpg,"{""Diğer Özellikler"":""içindekiler / ıngredients:sodıum palmate, sodıum palm kernelate, aqua(water), parfum(fragrance), sodıum chlorıde, glycerın, orıganum majorana leaf oıl, melaleuca alternıfolıa leaf (tea tree) oıl, tetrasodıum etıdronate, tetrasodıum edta, lımonene, lınalool, cıtral, cı 77891(tıtanıum dıoxıde).;"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,8,1,8,8,,kozmetik:kozmetik-vitrini,8,8,127.5,71,1016742922,1279865,1016742922:1279865,Embeauty Ultra Siyah Dolgunlaştırıcı Maskara – Hacim ve Uzunluk Etkili,Embeauty,Maskara,https://www.trendyol.com/embeauty/ultra-siyah-dolgunlastirici-maskara-hacim-ve-uzunluk-etkili-p-1016742922?boutiqueId=61&merchantId=1279865,Viel Kozmetik,9,264.8,,,-41,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 5B+ ürün satıldı!,3,5000,1666.7,4.2,28549,15269,46,1394,"98,1B kişinin sepetinde","1,1M kişi favoriledi","Son 24 saatte 12,5B kişi görüntüledi",4999,TRY,0,1,1,4,Tahmini Teslim:,,https://cdn.dsmcdn.com/ty1785/prod/QC_ENRICHMENT/20251108/13/65110fe4-dbaa-3c9b-bc1f-3f970801c9eb/1_org_zoom.jpg,"{""Boy"":""Orijinal Boy"",""Etki"":""Hacim / Dolgunluk Veren"",""Suya/Tere Dayanıklılık"":""Var"",""Fırça Tipi"":""Plastik"",""Menşei"":""TR"",""Kutu Durumu"":""Kutu yok"",""Ürün Güvenliği Bilgisi"":""Sınıf 4.3 Su ile temasta alevlenir maddeler"",""Renk"":""Siyah""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,9,1,9,9,,kozmetik:kozmetik-vitrini,9,-4,130.4,32.1,824464737,107109,824464737:107109,Yves Rocher Monoi Nemlendirici Peelingli Duş Yağı-Tüm Ciltler-Monoi de Tahiti-Vegan-150ml,Yves Rocher,Vücut Peelingi,https://www.trendyol.com/yves-rocher/monoi-nemlendirici-peelingli-dus-yagi-tum-ciltler-monoi-de-tahiti-vegan-150ml-p-824464737?boutiqueId=61&merchantId=107109,Yves Rocher,,274.95,549.9,50,0,TRY,"[""Sepette %50 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,,,,,4.5,331,196,11,10,"2,9B kişinin sepetinde","30,3B kişi favoriledi","Son 24 saatte 1,5B kişi görüntüledi",4999,TRY,0,1,1,4,Tahmini Teslim:,En Çok Ziyaret Edilen 3. Ürün,https://cdn.dsmcdn.com/ty1000409/product/media/images/prod/PIM/20260629/13/b80bfe03-3286-450f-a6a4-c99ed3330307/1_org_zoom.jpg,"{""Tip"":""Şişe"",""Hacim"":""150 ml"",""Form"":""Peeling - Partiküllü"",""Ek Özellik"":""Vegan"",""Kullanma Amacı"":""Aydınlatıcı"",""Menşei"":""FR"",""Ürün Güvenliği Bilgisi"":""Tehlikeli Değil""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,10,1,10,10,,kozmetik:kozmetik-vitrini,10,2,89.1,20.9,945832144,830154,945832144:830154,"CALLİEL Aydınlatıcı, Leke Ve Siyah Nokta Karşıtı Kojik Asit Tonik 200 ml",CALLİEL,Tonik,https://www.trendyol.com/calliel/aydinlatici-leke-ve-siyah-nokta-karsiti-kojik-asit-tonik-200-ml-p-945832144?boutiqueId=61&merchantId=830154,Calliel,91,249.44,,,-37.5,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,,,,,4.2,9244,4288,35,5623,,,,4999,TRY,0,1,1,4,4 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,,https://cdn.dsmcdn.com/ty1808/prod/QC_ENRICHMENT/20260105/09/3c9b186e-ac34-3ef0-aa32-41aac980aaf1/1_org_zoom.jpg,"{""Cilt Tipi"":""Tüm Cilt Tipleri"",""Tip"":""Şişe"",""İçerik"":""Kolajen"",""Ek Özellik"":""Parfüm İçermeyen"",""Kullanma Amacı"":""Aydınlatıcı"",""Hacim"":""200 ml"",""Menşei"":""TR"",""Ürün Güvenliği Bilgisi"":""Tehlikeli Değil"",""Refill"":""Hayır""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,11,1,11,11,,kozmetik:kozmetik-vitrini,11,,95.1,37.4,1086376285,1174891,1086376285:1174891,Dr.Jart+ Cryo Rubber Sıkılaştırıcı Maske 40GM/1.4OZ | Adenozin & Peptit,Dr.Jart+,Yüz Maskesi,https://www.trendyol.com/dr-jart/cryo-rubber-sikilastirici-maske-40gm-1-4oz-adenozin-peptit-p-1086376285?boutiqueId=61&merchantId=1174891,Dr Jart,92,693.75,925,25,,TRY,"[""Sepette %25 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,,,,,4.5,87,32,,33,684 kişinin sepetinde,"33,4B kişi favoriledi","Son 24 saatte 1,5B kişi görüntüledi",4999,TRY,0,,1,3,Tahmini Teslim:,,https://cdn.dsmcdn.com/ty1000330/product/media/images/prod/PIM/20260203/11/a1e1e43f-a661-48b4-ac9b-53c701531839/1_org_zoom.jpg,"{""Cilt Tipi"":""Hassas"",""Kullanma Amacı"":""Gözenek Sıkılaştırıcı"",""Hacim"":""40 gr"",""İçerik"":""Kolajen"",""Tip"":""Kağıt"",""Set İçerik Adeti"":""1"",""Yaşlanma Karşıtı"":""Evet"",""Menşei"":""KR""}",20,4.95,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,12,1,12,12,,kozmetik:kozmetik-vitrini,12,10,83.4,36.2,983343487,1046771,983343487:1046771,MAQYA KOZMETİK 14 Parça Kavanoz Kutulu Makyaj Sünger Seti,MAQYA KOZMETİK,Makyaj Süngeri,https://www.trendyol.com/maqya-kozmetik/14-parca-kavanoz-kutulu-makyaj-sunger-seti-p-983343487?boutiqueId=61&merchantId=1046771,ARLEN BAKIM VE KOZMETİK,9,118.4,,,-28.7,TRY,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 250+ ürün satıldı!,3,250,83.3,4.3,1357,792,4,239,"4,5B kişinin sepetinde",82B kişi favoriledi,"Son 24 saatte 1,2B kişi görüntüledi",4999,TRY,0,1,1,4,Tahmini Teslim:,,https://cdn.dsmcdn.com/ty1750/prod/QC_PREP/20250907/03/90def3ac-1f3d-369d-bc0c-721d898fcef4/1_org_zoom.jpg,"{""Menşei"":""TR"",""Bakım Talimatları (Genel)"":""Nemli bir bezle silin.""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,13,1,13,13,1,kozmetik:kozmetik-vitrini,13,-10,88.6,43.1,848718397,791156,848718397:791156,The Ceel 3’lü Saç Bakım Seti – Dökülmeye Eğilimli ve Yıpranmış Saçlar İçin,The Ceel,Saç Bakım Seti,https://www.trendyol.com/the-ceel/3-lu-sac-bakim-seti-dokulmeye-egilimli-ve-yipranmis-saclar-icin-p-848718397?boutiqueId=61&merchantId=791156,The Ceel,3,999.9,,,116.6,TRY,"[""100 TL Kupon"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 500+ ürün satıldı!,3,500,166.7,4.4,4623,1900,5,1616,"10,1B kişinin sepetinde","185,4B kişi favoriledi","Son 24 saatte 3,8B kişi görüntüledi",4999,TRY,0,1,1,4,Tahmini Teslim:,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1000412/product/media/images/prod/PIM/20260706/07/4630f64f-a9c4-4da9-a7e7-a4222fe7d1e8/1_org_zoom.jpg,"{""Saç Tipi"":""Tüm Saç Tipleri"",""Etki"":""Besleyici / Onarıcı"",""Menşei"":""TR"",""Ürün Güvenliği Bilgisi"":""Tehlikeli Değil""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-21,2026-08-21T12:00:02+03:00,kozmetik,BEST_SELLER,kozmetik-vitrini,Trendyol Kozmetik / En Çok Satan Ürünler,14,1,14,14,,kozmetik:kozmetik-vitrini,14,26,155.7,62.8,844065301,989677,844065301:989677,"ILLUSIONE FRAGRANCE Lumiére Edp Kadın Parfüm 50ml | Tatlı - Vanilya - Gurme | Narenciye, Müge, Orkide, Misk",ILLUSIONE FRAGRANCE,Parfüm,https://www.trendyol.com/illusione-fragrance/lumiere-edp-kadin-parfum-50ml-tatli-vanilya-gurme-narenciye-muge-orkide-misk-p-844065301?boutiqueId=61&merchantId=989677,ILLUSIONE,,479,1199,60.1,0,TRY,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",InStock,100 adetten fazla stok sunulmuştur,3 günde 1B+ ürün satıldı!,3,1000,333.3,4.2,3436,2303,18,508,7B kişinin sepetinde,"169,5B kişi favoriledi","Son 24 saatte 7,2B kişi görüntüledi",4999,TRY,0,,1,4,1 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,,https://cdn.dsmcdn.com/ty1000428/product/media/images/prod/PIM/20260813/10/5ff00bb5-2e82-427a-b866-7ab0518fb43f/1_org_zoom.jpg,"{""Tip"":""EDP"",""Koku Türü"":""Meyveli"",""Menşei"":""TR"",""Refill"":""Hayır"",""Hacim"":""50 ml""}",20,5,refreshed,"[""daily_top""]",true,2026-08-21T12:00:02+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
